PuzzleId,FEN,Moves,Rating,Themes
6uEMx,3r3r/1bk5/p2p2qp/1p6/5B1p/2P5/PP1Q1PPP/R2R2K1 w - - 3 31,a2a4 g6g2,702,kingsideAttack mate mateIn1 middlegame oneMove
hGWNF,r1b1k2r/pp1p1ppp/1q1Bp3/4n3/2P1P2b/2NP1B2/PP3PP1/R2QK2R w KQkq - 3 12,d6e5 b6f2,703,attackingF2F7 mate mateIn1 oneMove opening
M1GJ4,rnbq1rk1/ppp2Nbp/6p1/3B4/8/8/PPP2PPP/R1BQK2R b KQ - 0 11,f8f7 d5f7 g8f7 d1d8,704,crushing discoveredAttack kingsideAttack opening short
B5SQS,2r3k1/2Q2pp1/2p4p/2Pp4/N7/3BR1Pb/q4P1P/5NK1 b - - 0 31,c8c7 e3e8,705,mate mateIn1 middlegame oneMove pillsburysMate
y9I7n,2kr3r/pppq1p2/4p1np/5np1/1P1pQ3/P2P1B1P/2PB1PP1/R4RK1 b - - 3 17,g5g4 e4b7,706,mate mateIn1 middlegame oneMove queensideAttack
o2Ga7,2b1r3/6kp/n1p3p1/3p4/3Pp2q/Q3P2P/3N1RP1/4K3 b - - 1 28,e8f8 a3f8,706,master mate mateIn1 middlegame oneMove
bIe09,r4rk1/pp3ppp/5q2/8/8/4PPP1/PPQ5/R3K2R b KQ - 0 17,f6f3 c2h7,712,endgame mate mateIn1 oneMove
TGIH5,2r2rk1/pp1bbppp/1nn1p3/q7/3P1B2/P1NQ4/1PB1NPPP/R4RK1 b - - 4 16,a5a6 d3h7,712,kingsideAttack mate mateIn1 middlegame oneMove
uUqt2,r4rk1/p5pp/3bp3/1p1p4/6Q1/1P1B2NP/P1Pq4/5RRK w - - 2 28,g3h5 d2h2,717,mate mateIn1 middlegame oneMove
wPcW2,r1bq4/ppp1n1b1/3p2kR/4nr2/6p1/1BN1QP2/PPPB4/2KR2N1 b - - 1 16,g7h6 e3h6,717,mate mateIn1 middlegame oneMove
yEwk5,2r3rk/pp3R1n/7p/3p4/PPPPp3/7R/3N3p/4K3 b - - 1 33,h7g5 h3h6 g5h7 h6h7,718,endgame mate mateIn2 short
l9dVS,r1b2rk1/pp4pp/4p2q/2pp1p2/2P3n1/2N1P1P1/PPQ2PBP/R4RK1 w - - 2 18,c4d5 h6h2,718,kingsideAttack mate mateIn1 middlegame oneMove
nROYv,r1bqR1k1/1pp3pp/pn3b2/7Q/3P4/7P/PPP2PP1/R1B3K1 b - - 3 17,d8e8 h5e8,718,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove
NtTtb,r1b1kb1r/1p1pnpp1/p1n1p2p/q7/2N1P3/2PB1NB1/PP3PPP/R2Q1RK1 b kq - 3 11,a5d8 c4d6,720,mate mateIn1 oneMove opening smotheredMate
mocvv,r3k1r1/1b1p1pq1/p1n1p3/1p5p/4PQ2/3B3N/PPP3PP/R4R1K w q - 1 21,f4f6 g7g2,721,kingsideAttack mate mateIn1 middlegame oneMove
V1PMt,r3q1k1/1pp1n3/1b2rB1p/p2pN3/P2P4/6Q1/1P3nPP/R3R1K1 b - - 1 22,g8h7 g3g7,721,mate mateIn1 middlegame oneMove
7SDhJ,8/3k1p2/4pp2/1Nppb3/2P4p/1P2P2r/r5P1/1R4RK w - - 0 29,g2h3 a2h2,721,endgame mate mateIn1 oneMove operaMate
zCLZu,6k1/5ppp/4p3/3p4/p1qP1P2/P4P1P/2r2R2/1Q4K1 b - - 5 34,c2f2 b1b8 c4c8 b8c8,722,backRankMate endgame mate mateIn2 short
lW0VD,1k5r/1b6/3p4/q1rN1p1p/P1P1PPp1/1Q1BK3/6P1/1R6 b - - 3 34,h5h4 b3b7,723,mate mateIn1 middlegame oneMove queensideAttack
ha7yh,1r2r3/7n/2p2k2/p1Nq1p2/1P1P2p1/2PQ2Pp/P2B1P1P/4RRK1 w - - 0 26,c3c4 d5g2,726,mate mateIn1 middlegame oneMove
xB8DT,r2q1rk1/1p1b1ppp/2p5/p2BR1N1/P2P4/7P/1PQ2PP1/R5K1 b - - 0 18,c6d5 c2h7,732,kingsideAttack mate mateIn1 middlegame oneMove
IdOkN,r4k1r/ppp2pb1/5qpp/8/8/2P2P1P/NP1Q1P2/2KRR3 b - - 0 19,f6f3 d2d8 a8d8 d1d8,742,master mate mateIn2 middlegame sacrifice short
hVCPw,7k/pp4pp/5r2/n3b3/1K4B1/1Q1R1P1P/PP2rP2/q7 b - - 5 28,a5b3 d3d8 f6f8 d8f8,748,backRankMate mate mateIn2 middlegame short
cxEt3,2r2rk1/ppq1ppbp/3p1np1/4n1B1/4P3/2NP1PPb/PP1QN1BP/1RR3K1 w - - 3 16,g2h3 e5f3 g1h1 f3d2,750,advantage fork middlegame short
